u,v,key,name,highway,road_class,length
104185739,104678799,0,Lorenz Avenue,residential,Local,39.073503096574036
104185739,104185749,0,Ainsworth Street,residential,Local,122.25254885797789
104185739,105697563,0,Lorenz Avenue,residential,Local,78.35754885589859
104678799,105697578,0,Lorenz Avenue,residential,Local,42.75968189436712
104678799,104185739,0,Lorenz Avenue,residential,Local,39.073503096574036
104678799,104628945,0,Valier Street,residential,Local,121.37155137924682
104185749,104185758,0,Ainsworth Street,residential,Local,24.760993514956407
104185749,104628945,0,Marlow Street,residential,Local,40.25871488040636
104185749,104185739,0,Ainsworth Street,residential,Local,122.25254885797789
104185749,104628973,0,Marlow Street,residential,Local,76.08135544062762
105697563,105183487,0,Lorenz Avenue,residential,Local,23.333046166117885
105697563,104628973,0,Gibson Street,residential,Local,122.0436992572669
105697563,104185739,0,Lorenz Avenue,residential,Local,78.35754885589859
104185758,104185749,0,Ainsworth Street,residential,Local,24.760993514956407
104628945,104185749,0,Marlow Street,residential,Local,40.25871488040636
104628945,104628936,0,Marlow Street,residential,Local,47.21086252064912
104628945,104678799,0,Valier Street,residential,Local,121.37155137924682
104628973,104628982,0,Marlow Street,residential,Local,68.91894593341453
104628973,104185749,0,Marlow Street,residential,Local,76.08135544062762
104628973,105697563,0,Gibson Street,residential,Local,122.0436992572669
104185902,105147252,0,Delmont Avenue,residential,Local,98.76001396731988
104185902,105147231,0,Delmont Avenue,residential,Local,46.52354458625095
104185902,104862334,0,Cedar Hurst Street,residential,Local,135.8066211545251
105147252,105752625,0,Sylvania Avenue,residential,Local,300.1698274483764
105147252,105110255,0,Sylvania Avenue,residential,Local,84.53771000166846
105147252,105147258,0,Delmont Avenue,residential,Local,84.44290411038489
105147252,104185902,0,Delmont Avenue,residential,Local,98.76001396731988
105147231,104185902,0,Delmont Avenue,residential,Local,46.52354458625095
105147231,105789734,0,Freeland Street,residential,Local,311.7874943166985
105147231,1025849404,0,Freeland Street,residential,Local,113.13521246857448
104862334,104185906,0,Haberman Avenue,living_street,Local,39.285888017325
104862334,104862344,0,Cedar Hurst Street,residential,Local,164.00814320059231
104862334,104185902,0,Cedar Hurst Street,residential,Local,135.8066211545251
104185906,104862334,0,Haberman Avenue,living_street,Local,39.285888017325
104186099,104186104,0,Pemberton Street,residential,Local,210.56014205329217
104186099,106321055,0,"['Pemberton Street', 'Purdue Street', 'Cornell Street']",residential,Local,268.5755029719866
104186099,104592603,0,Wickshire Street,residential,Local,95.43871079257238
104186104,104186114,0,Pemberton Street,residential,Local,175.283474512279
104186104,104186099,0,Pemberton Street,residential,Local,210.56014205329217
104186104,104826426,0,Wapello Street,residential,Local,49.67162985512683
104186104,104187324,0,Wapello Street,residential,Local,86.42877412055071
106321055,104592603,0,Wickshire Street,residential,Local,58.222064851453936
106321055,105913990,0,Cornell Street,residential,Local,84.63738368719694
106321055,104186099,0,"['Pemberton Street', 'Purdue Street', 'Cornell Street']",residential,Local,268.57550297198657
104592603,106321055,0,Wickshire Street,residential,Local,58.222064851453936
104592603,104592607,0,Termon Avenue,residential,Local,79.10971297619373
104592603,104186099,0,Wickshire Street,residential,Local,95.4387107925724
104186114,104186104,0,Pemberton Street,residential,Local,175.283474512279
104186114,3046670098,0,Brighton Road,tertiary,Tertiary,54.31642417415394
104186114,104187329,0,Brighton Road,tertiary,Tertiary,73.05349569530016
104826426,104186104,0,Wapello Street,residential,Local,49.67162985512683
104187324,104187319,0,Davis Avenue,residential,Local,285.0397332683793
104187324,104187329,0,Davis Avenue,residential,Local,98.62755234885046
104187324,104186104,0,Wapello Street,residential,Local,86.42877412055071
104187324,104675012,0,Wapello Street,residential,Local,93.14197838719724
3046670098,3046670097,0,Shadeland Avenue,tertiary,Tertiary,10.866431259577277
3046670098,104592641,0,Brighton Road,tertiary,Tertiary,77.26508239981497
3046670098,104186114,0,Brighton Road,tertiary,Tertiary,54.31642417415394
104187329,104187324,0,Davis Avenue,residential,Local,98.62755234885046
104187329,104825792,0,Brighton Road,tertiary,Tertiary,64.16034417926296
104187329,3046670091,0,Davis Avenue,tertiary,Tertiary,80.11412239154711
104187329,104186114,0,Brighton Road,tertiary,Tertiary,73.05349569530016
104186744,104186753,0,North Negley Avenue,secondary,Secondary,122.374280730652
104186744,104801683,0,South Negley Avenue,secondary,Secondary,134.70865976510342
104186744,12446164709,0,Penn Avenue,primary,Primary,111.54653730487716
104186744,105965507,0,Penn Avenue,primary,Primary,85.44423325101911
104186753,104186744,0,North Negley Avenue,secondary,Secondary,122.374280730652
104186753,104186765,0,North Negley Avenue,secondary,Secondary,137.39938116826625
104186753,106069613,0,Broad Street,residential,Local,166.27237470537173
104186753,12446164710,0,"['North Saint Clair Street', 'Broad Street']",residential,Local,297.17555585322543
104801683,1790783298,0,Eva Street,residential,Local,92.31159864237651
104801683,105703684,0,South Negley Avenue,secondary,Secondary,54.22619617250406
104801683,104186744,0,South Negley Avenue,secondary,Secondary,134.70865976510345
12446164709,104186744,0,Penn Avenue,primary,Primary,111.70268879284292
12446164709,12446164710,0,Penn Avenue,primary,Primary,62.43824720848815
105965507,105703676,0,Stratford Avenue,residential,Local,200.59737748324642
105965507,104186744,0,Penn Avenue,primary,Primary,85.44423325101911
105965507,104580779,0,Penn Avenue,primary,Primary,80.01560955901522
104186765,104186753,0,North Negley Avenue,secondary,Secondary,137.39938116826625
104186765,104186773,0,North Negley Avenue,secondary,Secondary,124.16968733853659
104186765,104704862,0,Rural Street,residential,Local,174.4649480062013
106069613,106069644,0,North Fairmount Street,residential,Local,76.23831261883694
106069613,104651130,0,North Fairmount Street,residential,Local,72.56338735151876
106069613,104186753,0,Broad Street,residential,Local,166.27237470537176
106069613,105144622,0,Broad Street,residential,Local,239.6155520502112
12446164710,104186753,0,"['North Saint Clair Street', 'Broad Street']",residential,Local,297.17555585322543
12446164710,9960932648,0,South Saint Clair Street,residential,Local,134.92918801871818
12446164710,104531559,0,Penn Avenue,primary,Primary,93.94883980590996
12446164710,12446164709,0,Penn Avenue,primary,Primary,62.43824720848815
104186773,104186779,0,North Negley Avenue,secondary,Secondary,48.64862820539678
104186773,104186765,0,North Negley Avenue,secondary,Secondary,124.16968733853659
104186773,104704879,0,Rippey Street,residential,Local,174.9040967414041
104704862,104704879,0,North Saint Clair Street,residential,Local,123.50382078831265
104704862,3157798776,0,Rural Street,residential,Local,89.86060525204361
104704862,104186765,0,Rural Street,residential,Local,174.46494800620133
104186779,104186773,0,North Negley Avenue,secondary,Secondary,48.64862820539678
104186779,572065243,0,North Negley Avenue,secondary,Secondary,72.25434401218297
104186779,104690428,0,Rippey Place,residential,Local,129.38590047079998
104704879,572065248,0,North Saint Clair Street,residential,Local,122.8817461920642
104704879,104704862,0,North Saint Clair Street,residential,Local,123.50382078831264
104704879,104949167,0,Rippey Street,residential,Local,88.72659058506669
104704879,104186773,0,Rippey Street,residential,Local,174.90409674140412
572065243,104186789,0,North Negley Avenue,secondary,Secondary,16.94439497046597
572065243,104186779,0,North Negley Avenue,secondary,Secondary,72.25434401218297
572065243,572065248,0,East Liberty Boulevard,secondary,Secondary,174.6382273516225
104690428,104186779,0,Rippey Place,residential,Local,129.38590047079998
104186789,572065243,0,North Negley Avenue,secondary,Secondary,16.94439497046597
104186789,105735950,0,Margaretta Street,residential,Local,162.6366693053601
104186789,104186797,0,North Negley Avenue,secondary,Secondary,47.80741287018096
105735950,104186789,0,Margaretta Street,residential,Local,162.6366693053601
104186797,105181349,0,Columbo Street,residential,Local,343.4098992535434
104186797,104186789,0,North Negley Avenue,secondary,Secondary,47.80741287018096
104186797,104186802,0,North Negley Avenue,secondary,Secondary,73.93859990164827
105181349,105181342,0,Columbo Street,residential,Local,36.02812830137369
105181349,104532605,0,North Fairmount Street,residential,Local,168.35122252825775
104186802,104990827,0,Black Street,tertiary,Tertiary,242.062675120388
104186802,104186809,0,North Negley Avenue,secondary,Secondary,119.26873947505945
104186802,104186797,0,North Negley Avenue,secondary,Secondary,73.93859990164827
104990827,104990843,0,Chislett Street,residential,Local,137.30055528763904
104990827,104186802,0,Black Street,tertiary,Tertiary,242.062675120388
104990827,105832016,0,Black Street,tertiary,Tertiary,155.7394971328428
104186809,104186816,0,North Negley Avenue,secondary,Secondary,102.22289021613385
104186809,105737001,0,Hays Street,residential,Local,100.94830399133062
104186809,104186802,0,North Negley Avenue,secondary,Secondary,119.26873947505945
104186816,104186809,0,North Negley Avenue,secondary,Secondary,102.22289021613385
104186816,104186822,0,North Negley Avenue,secondary,Secondary,105.342142763777
104186816,104990863,0,Baywood Street,residential,Local,358.13414837337575
105737001,105737010,0,Mellon Street,residential,Local,206.01989049803495
105737001,105232939,0,Mellon Street,residential,Local,240.3809228980987
105737001,104704918,0,Hays Street,residential,Local,87.17295148934777
105737001,104186809,0,Hays Street,residential,Local,100.94830399133062
104186822,104186816,0,North Negley Avenue,secondary,Secondary,105.342142763777
104186822,105255675,0,Stanton Avenue,tertiary,Tertiary,34.09674950204956
104186822,104186829,0,North Negley Avenue,secondary,Secondary,109.08655251737893
104186822,104827473,0,Stanton Avenue,tertiary,Tertiary,199.72664850292284
104990863,104990885,0,Chislett Street,residential,Local,142.9920144626985
104990863,104990843,0,Chislett Street,residential,Local,122.46706875293859
104990863,104186816,0,Baywood Street,residential,Local,358.1341483733758
105255675,104625997,0,Portland Street,residential,Local,60.756233899970965
105255675,105737010,0,Stanton Avenue,tertiary,Tertiary,88.98197653776323
105255675,104186822,0,Stanton Avenue,tertiary,Tertiary,34.09674950204956
104186829,104186833,0,North Negley Avenue,secondary,Secondary,41.35274179089516
104186829,104982465,0,Jackson Street,residential,Local,229.586589911058
104186829,104186822,0,North Negley Avenue,secondary,Secondary,109.08655251737893
104827473,104982465,0,Heths Avenue,residential,Local,112.03986539378876
104827473,107548964,0,Stanton Avenue,tertiary,Tertiary,138.57688929354438
104827473,104186822,0,Stanton Avenue,tertiary,Tertiary,199.72664850292284
104186833,104186843,0,North Negley Avenue,secondary,Secondary,51.187821187144266
104186833,104186829,0,North Negley Avenue,secondary,Secondary,41.35274179089516
104186833,105255682,0,Jackson Street,residential,Local,50.59784091437171
104982465,104982476,0,Heths Avenue,residential,Local,96.4136537524642
104982465,104827473,0,Heths Avenue,residential,Local,112.03986539378877
104982465,104186829,0,Jackson Street,residential,Local,229.586589911058
104982465,105932700,0,Jackson Street,residential,Local,115.45180489009906
104186843,104186854,0,North Negley Avenue,secondary,Secondary,91.86959456015025
104186843,104186833,0,North Negley Avenue,secondary,Secondary,51.187821187144266
104186843,104982476,0,Avondale Place,residential,Local,259.831837348732
105255682,104837651,0,Portland Street,residential,Local,164.9056638503958
105255682,104625997,0,Portland Street,residential,Local,90.46521200572363
105255682,105737021,0,Jackson Street,residential,Local,88.69747967849811
105255682,104186833,0,Jackson Street,residential,Local,50.59784091437171
104186854,104186862,0,North Negley Avenue,secondary,Secondary,20.652548376224722
104186854,104186843,0,North Negley Avenue,secondary,Secondary,91.86959456015025
104186854,104837520,0,Wellesley Avenue,residential,Local,253.582465313165
104982476,104982465,0,Heths Avenue,residential,Local,96.41365375246419
104982476,104186843,0,Avondale Place,residential,Local,259.831837348732
104982476,105001939,0,Avondale Place,residential,Local,91.64592058551058
104982476,12251990843,0,Heths Avenue,residential,Local,23.320786952104534
104186862,104186854,0,North Negley Avenue,secondary,Secondary,20.652548376224722
104186862,104837651,0,Wellesley Avenue,residential,Local,68.61214600997772
104186862,104186871,0,North Negley Avenue,secondary,Secondary,142.84853606344657
104837520,104186854,0,Wellesley Avenue,residential,Local,253.582465313165
104837520,104837506,0,Wellesley Avenue,residential,Local,70.8788288719386
104837520,104925364,0,King Avenue,residential,Local,163.81954711813626
104837520,12251990843,0,King Avenue,residential,Local,69.60217256588496
104837651,104837667,0,Wellesley Avenue,residential,Local,88.30328945399458
104837651,104186862,0,Wellesley Avenue,residential,Local,68.61214600997772
104837651,104925372,0,Portland Street,residential,Local,139.31516061410773
104837651,105255682,0,Portland Street,residential,Local,164.9056638503958
104186871,104925372,0,Hampton Street,residential,Local,84.32418889633925
104186871,104925364,0,Hampton Street,residential,Local,238.23565792882005
104186871,104186881,0,North Negley Avenue,secondary,Secondary,106.63511364937175
104186871,104186862,0,North Negley Avenue,secondary,Secondary,142.84853606344657
104925372,104925399,0,Hampton Street,residential,Local,88.01085996493995
104925372,104186871,0,Hampton Street,residential,Local,84.32418889633924
104925372,105008186,0,Portland Street,residential,Local,206.3185935946878
104925372,104837651,0,Portland Street,residential,Local,139.3151606141077
104925364,104186871,0,Hampton Street,residential,Local,238.23565792882005
104925364,106033636,0,King Avenue,residential,Local,117.91766651029688
104925364,104837520,0,King Avenue,residential,Local,163.81954711813626
104925364,104925347,0,Hampton Street,residential,Local,88.13982108469014
104186881,106033636,0,Beverly Place,residential,Local,229.44100129567303
104186881,104186887,0,North Negley Avenue,secondary,Secondary,105.24840933425259
104186881,104186871,0,North Negley Avenue,secondary,Secondary,106.63511364937175
106033636,104186881,0,Beverly Place,residential,Local,229.44100129567303
106033636,105008175,0,King Avenue,residential,Local,105.74017996369024
106033636,104925364,0,King Avenue,residential,Local,117.91766651029688
104186887,105008186,0,Bryant Street,residential,Local,107.42797623319152
104186887,104186881,0,North Negley Avenue,secondary,Secondary,105.24840933425259
104186887,105008175,0,Bryant Street,residential,Local,229.85631661954042
104186887,104186898,0,North Negley Avenue,secondary,Secondary,91.13809651271137
105008186,104925372,0,Portland Street,residential,Local,206.31859359468774
105008186,104186887,0,Bryant Street,residential,Local,107.42797623319152
105008186,105008203,0,Bryant Street,residential,Local,88.12412094324881
105008175,106315221,0,King Avenue,residential,Local,52.43484190365669
105008175,106033636,0,King Avenue,residential,Local,105.74017996369024
105008175,104186887,0,Bryant Street,residential,Local,229.85631661954042
105008175,3643405176,0,Bryant Street,residential,Local,34.303291997040624
104186898,104186908,0,North Negley Avenue,secondary,Secondary,89.58503305029326
104186898,104186887,0,North Negley Avenue,secondary,Secondary,91.13809651271136
104186898,104811788,0,Elgin Street,residential,Local,195.5674599103364
104186898,104402366,0,Elgin Street,residential,Local,119.00736553987173
104186908,104919809,0,Callowhill Street,residential,Local,194.95129796605548
104186908,104186918,0,North Negley Avenue,secondary,Secondary,86.22091958506188
104186908,104186898,0,North Negley Avenue,secondary,Secondary,89.58503305029326
104811788,104919809,0,Mellon Street,residential,Local,89.04169637080531
104811788,104704976,0,Elgin Street,residential,Local,86.69261846980781
104811788,104186898,0,Elgin Street,residential,Local,195.5674599103364
104402366,2638997099,0,Elgin Street,residential,Local,31.15522912778535
104402366,4313804470,0,Elgin Street,residential,Local,31.33163887935538
104402366,104186898,0,Elgin Street,residential,Local,119.00736553987173
104919809,104705005,0,Callowhill Street,residential,Local,87.1515929247299
104919809,104186908,0,Callowhill Street,residential,Local,194.95129796605548
104919809,104695316,0,Mellon Street,residential,Local,99.61778079399338
104186918,104695316,0,Mellon Terrace,secondary,Secondary,197.39570529157487
104186918,104186908,0,North Negley Avenue,secondary,Secondary,86.22091958506188
104695316,355783852,0,Mellon Street,secondary,Secondary,29.813977749193036
104187288,104187293,0,Davis Avenue,residential,Local,34.30079084415762
104187288,12858522785,0,Rodney Street,residential,Local,235.77572059736588
104187293,104187288,0,Davis Avenue,residential,Local,34.30079084415762
104187293,106130868,0,Laird Street,residential,Local,89.01611104233474
104187293,106130854,0,Laird Street,residential,Local,95.34827655367846
104187293,104187301,0,Davis Avenue,residential,Local,79.46633046142856
12858522785,105155106,0,Woods Run Avenue,tertiary,Tertiary,58.37213882022838
12858522785,4619330150,0,Woods Run Avenue,tertiary,Tertiary,53.848613440920424
106130868,104187293,0,Laird Street,residential,Local,89.01611104233474
106130854,104187293,0,Laird Street,residential,Local,95.34827655367846
104187301,3195258975,0,Davis Avenue,residential,Local,10.599538123610092
104187301,104187293,0,Davis Avenue,residential,Local,79.46633046142857
104187301,105705847,0,Harbison Avenue,residential,Local,348.9492837384944
3195258975,104187301,0,Davis Avenue,residential,Local,10.599538123610092
3195258975,104187319,0,Davis Avenue,residential,Local,130.14955615210192
3195258975,3195258973,0,Harbison Avenue,residential,Local,34.028279516872885
105705847,104187301,0,Harbison Avenue,residential,Local,348.9492837384944
104187319,104187324,0,Davis Avenue,residential,Local,285.0397332683793
104187319,105817935,0,Campus Street,residential,Local,86.80510377868836
104187319,3195258975,0,Davis Avenue,residential,Local,130.14955615210192
105817935,104187319,0,Campus Street,residential,Local,86.80510377868836
105817935,2515546358,0,Campus Street,residential,Local,3.5661146439936497
105817935,105705812,0,Stanford Road,residential,Local,94.63512780566344
104675012,104825792,0,Brighton Road,tertiary,Tertiary,50.10480590790923
104675012,3775783255,0,Brighton Road,tertiary,Tertiary,13.403162331719551
104675012,104187324,0,Wapello Street,residential,Local,93.14197838719724
104825792,104675012,0,Brighton Road,tertiary,Tertiary,50.10480590790923
104825792,104825784,0,Gerber Avenue,residential,Local,211.10639465760147
104825792,104187329,0,Brighton Road,tertiary,Tertiary,64.16034417926296
3046670091,105766850,0,Shadeland Avenue,tertiary,Tertiary,140.84885448854533
3046670091,104187341,0,Davis Avenue,tertiary,Tertiary,101.36726476233032
3046670091,104187329,0,Davis Avenue,tertiary,Tertiary,80.11412239154711
104187341,104711638,0,McClure Avenue,residential,Local,91.03998349041841
104187341,104711630,0,McClure Avenue,residential,Local,136.28895367801917
104187341,104187353,0,Davis Avenue,tertiary,Tertiary,116.53944603435805
104187341,3046670091,0,Davis Avenue,tertiary,Tertiary,101.36726476233032
104711638,104592650,0,McClure Avenue,residential,Local,91.16672571202443
104711638,104187341,0,McClure Avenue,residential,Local,91.03998349041841
104711638,105963535,0,Orchlee Street,residential,Local,292.36693764046953
104711638,3046670097,0,Orchlee Street,residential,Local,94.25847393028994
104711630,104187341,0,McClure Avenue,residential,Local,136.28895367801917
104711630,104711621,0,McClure Avenue,residential,Local,139.099002592841
104711630,105766850,0,Law Street,residential,Local,103.36599397009262
104187353,3195258970,0,Lees Street,residential,Local,93.53397604803814
104187353,104187364,0,Davis Avenue,tertiary,Tertiary,175.85206782114625
104187353,104187341,0,Davis Avenue,tertiary,Tertiary,116.53944603435805
3195258970,104187353,0,Lees Street,residential,Local,93.53397604803814
104187364,105963535,0,Fleming Avenue,residential,Local,101.70778086591729
104187364,104361037,0,Fleming Avenue,residential,Local,81.86930931752758
104187364,104187373,0,Davis Avenue,tertiary,Tertiary,93.08711042680534
104187364,104187353,0,Davis Avenue,tertiary,Tertiary,175.85206782114625
105963535,105963544,0,Orchlee Street,residential,Local,93.02341311830905
105963535,104711638,0,Orchlee Street,residential,Local,292.3669376404695
105963535,104592656,0,Fleming Avenue,residential,Local,102.83738507316907
105963535,104187364,0,Fleming Avenue,residential,Local,101.70778086591727
104361037,105985880,0,Letort Street,residential,Local,121.03178785208245
104361037,104187364,0,Fleming Avenue,residential,Local,81.86930931752757
104361037,106046712,0,Fleming Avenue,residential,Local,160.31205138258528
104187373,105963544,0,Massachusetts Avenue,residential,Local,108.73031372585513
104187373,106340469,0,Massachusetts Avenue,residential,Local,235.65179685829108
104187373,104187384,0,Davis Avenue,tertiary,Tertiary,62.51167901703664
104187373,104187364,0,Davis Avenue,tertiary,Tertiary,93.08711042680534
105963544,105254620,0,Orchlee Street,residential,Local,62.503323682724876
105963544,105963535,0,Orchlee Street,residential,Local,93.02341311830905
105963544,104592665,0,Massachusetts Avenue,residential,Local,102.93645486384493
105963544,104187373,0,Massachusetts Avenue,residential,Local,108.73031372585511
106340469,105254608,0,Falck Avenue,residential,Local,63.67508569546591
106340469,104903930,0,Massachusetts Avenue,residential,Local,94.9681774861671
106340469,106046712,0,Falck Avenue,residential,Local,92.45824023282515
106340469,104187373,0,Massachusetts Avenue,residential,Local,235.65179685829108
104187384,104187391,0,Davis Avenue,residential,Local,65.15884418399065
104187384,104187373,0,Davis Avenue,tertiary,Tertiary,62.51167901703664
104187384,105183212,0,California Avenue,tertiary,Tertiary,50.264333092206066
104187384,104993726,0,California Avenue,tertiary,Tertiary,119.24212943094395
104187391,104669997,0,Mexico Street,residential,Local,54.39476926395353
104187391,104669987,0,Mexico Street,residential,Local,114.87643166745721
104187391,105183219,0,"['Grenada Street', 'Davis Avenue']",residential,Local,152.76457513608898
104187391,104187384,0,Davis Avenue,residential,Local,65.15884418399065
105183212,105254620,0,California Avenue,tertiary,Tertiary,63.22294547384858
105183212,104669997,0,Cottage Place,residential,Local,64.61518765571552
105183212,104187384,0,California Avenue,tertiary,Tertiary,50.264333092206066
104993726,104669987,0,Fairlee Street,residential,Local,63.84117705708103
104993726,104187384,0,California Avenue,tertiary,Tertiary,119.24212943094395
104993726,105254608,0,California Avenue,tertiary,Tertiary,112.01032850095443
104669997,104670006,0,Mexico Street,residential,Local,57.83289814333202
104669997,104187391,0,Mexico Street,residential,Local,54.39476926395353
104669997,105183219,0,Cottage Place,residential,Local,83.5925891047602
104669997,105183212,0,Cottage Place,residential,Local,64.61518765571552
104669987,104187391,0,Mexico Street,residential,Local,114.87643166745721
104669987,104903935,0,"['Mexico Street', 'Chidell Street']",residential,Local,270.1440775953157
104669987,104993731,0,Fairlee Street,residential,Local,63.63096860444988
104669987,104993726,0,Fairlee Street,residential,Local,63.84117705708103
105183219,104250896,0,Grenada Street,residential,Local,42.392440535508705
105183219,104669997,0,Cottage Place,residential,Local,83.5925891047602
105183219,104187391,0,"['Grenada Street', 'Davis Avenue']",residential,Local,152.76457513608898
104187495,3880265606,0,Hoffman Street,residential,Local,32.98390474076594
3880265606,104187495,0,Hoffman Street,residential,Local,32.98390474076594
3880265606,104187503,0,,residential,Local,65.8313550474624
3880265606,3880265601,0,,residential,Local,47.39333278915052
104187503,107605490,0,Knott Street,residential,Local,57.76343635846479
104187503,3880265606,0,,residential,Local,65.8313550474624
104187503,105198521,0,Knott Street,residential,Local,47.42043819298002
104187503,104187508,0,,residential,Local,54.49788352564477
107605490,104187503,0,Knott Street,residential,Local,57.76343635846479
105198521,3880265601,0,Nixon Street,residential,Local,65.90813297876512
105198521,105198530,0,Nixon Street,residential,Local,54.47890582266561
105198521,104187503,0,Knott Street,residential,Local,47.42043819298002
104187508,3880265615,0,Chateau Street,tertiary,Tertiary,165.81284750583936
104187508,104187503,0,,residential,Local,54.49788352564477
3880265615,105121227,0,,residential,Local,408.97524998558987
3880265615,5002172221,0,Chateau Street,tertiary,Tertiary,76.93532428694837
104189148,105880551,0,Bly Street,residential,Local,84.76253211793063
105880551,105880542,0,Royal Street,residential,Local,52.01650039663925
105880551,104189148,0,Bly Street,residential,Local,84.76253211793063
105880551,104982626,0,"['Shank Street', 'Nettie Street', 'Royal Street']",residential,Local,314.55806604922043
104191147,104799264,0,Dartmore Street,residential,Local,155.8309419918587
104191147,105043999,0,Parkfield Street,residential,Local,210.91287168782628
104191147,104641917,0,Parkfield Street,residential,Local,152.27379120415426
104799264,104191147,0,Dartmore Street,residential,Local,155.8309419918587
104799264,105044015,0,Midwood Avenue,residential,Local,86.3190784737235
104799264,104799283,0,Dartmore Street,residential,Local,346.1881383541334
104799264,104987331,0,Midwood Avenue,residential,Local,86.85397472913205
105043999,105044010,0,Fairland Street,residential,Local,66.7170502344824
105043999,104191147,0,Parkfield Street,residential,Local,210.91287168782634
105043999,105221767,0,Parkfield Street,residential,Local,212.61389432555197
104641917,104641907,0,Nobles Lane,unclassified,Local,47.00875497727398
104641917,104191147,0,Parkfield Street,residential,Local,152.27379120415426
104641917,1026039900,0,Parkfield Street,unclassified,Local,20.748599551448024
104191311,684907418,0,North Canal Street,primary,Primary,39.26271816310868
104191311,684907625,0,East Ohio Street,primary,Primary,88.33048036957321
684907418,684907429,0,,motorway_link,Highway,178.2117818771362
684907418,684907277,0,North Canal Street,tertiary,Tertiary,506.1814727670289
684907625,684907626,0,Madison Avenue,primary,Primary,10.759147702985217
684907625,684907588,0,East Ohio Street,primary,Primary,218.41375751895728
104191391,105825321,0,Merrick Avenue,residential,Local,55.85460252223519
104191391,105863455,0,Merrick Avenue,residential,Local,40.79476777438771
104191391,105206233,0,Clippert Avenue,residential,Local,86.85050326785
105825321,104191391,0,Merrick Avenue,residential,Local,55.85460252223519
105825321,104545645,0,Brookline Boulevard,tertiary,Tertiary,9.132972251125784
105825321,105936478,0,Whited Street,tertiary,Tertiary,96.28172449776048
105825321,105825309,0,Brookline Boulevard,tertiary,Tertiary,186.64830884347384
105863455,105863464,0,Oakridge Street,residential,Local,213.26942221002736
105863455,105863437,0,Merrick Avenue,residential,Local,9.530603213448503
105863455,104191391,0,Merrick Avenue,residential,Local,40.79476777438771
105206233,105206245,0,Wareman Avenue,residential,Local,98.1147214433465
105206233,104191391,0,Clippert Avenue,residential,Local,86.85050326785
105206233,104966667,0,Clippert Avenue,residential,Local,96.01808170737053
104191407,105863464,0,Breining Street,tertiary,Tertiary,104.55995916885433
104191407,105825337,0,Brookline Boulevard,residential,Local,129.11577901982338
104191407,104545645,0,Brookline Boulevard,tertiary,Tertiary,182.56668784470037
105863464,104373116,0,Oakridge Street,residential,Local,143.90558440886878
105863464,104191407,0,Breining Street,tertiary,Tertiary,104.55995916885433
105863464,104808037,0,Breining Street,tertiary,Tertiary,294.5986266688737
105825337,104545682,0,Birchland Street,residential,Local,81.89202646657459
105825337,105129770,0,Brookline Boulevard,residential,Local,294.09020138651175
105825337,104191407,0,Brookline Boulevard,residential,Local,129.11577901982338
104545645,105825321,0,Brookline Boulevard,tertiary,Tertiary,9.132972251125784
104545645,104191407,0,Brookline Boulevard,tertiary,Tertiary,182.56668784470037
104545645,104545682,0,Bellaire Place,residential,Local,357.31065633544887
104192015,104526116,0,Orion Street,residential,Local,83.12626913060022
104192015,105731715,0,Webster Avenue,residential,Local,143.5440588785592
104192015,2584519828,0,Webster Avenue,residential,Local,549.6585187598467
104526116,104526106,0,Milwaukee Street,residential,Local,14.486133498623525
104526116,104192015,0,Orion Street,residential,Local,83.1262691306002
104526116,104526128,0,Milwaukee Street,residential,Local,68.24238617159264
105731715,2584519813,0,Webster Avenue,residential,Local,66.33120841896948
105731715,4606450644,0,McNeil Place,residential,Local,63.33761956951142
105731715,104192015,0,Webster Avenue,residential,Local,143.5440588785592
2584519828,104839111,0,"['Lisbon Street', 'Balboa Street']",residential,Local,300.45303356495043
2584519828,105869616,0,"['Webster Avenue', 'Blessing Street']",residential,Local,213.4472494161617
2584519828,104192015,0,Webster Avenue,residential,Local,549.6585187598467
104192054,105805445,0,Bethoven Street,residential,Local,126.72245095898933
104192054,104637639,0,Bethoven Street,residential,Local,170.02247818495354
104192054,1252119225,0,Jewel Street,residential,Local,49.56299322120416
105805445,11026982587,0,Harding Street,residential,Local,28.586983879691278
105805445,104192054,0,Bethoven Street,residential,Local,126.72245095898933
105805445,107645319,0,Harding Street,residential,Local,47.13175743387113
104637639,104885332,0,Bethoven Street,residential,Local,328.8633397452251
104637639,104637629,0,Finland Street,residential,Local,95.7532699149578
104637639,104192054,0,Bethoven Street,residential,Local,170.02247818495354
1252119225,106067060,0,Cargill Street,residential,Local,86.74365426681827
1252119225,104192054,0,Jewel Street,residential,Local,49.56299322120417
1252119225,105036656,0,Jewel Street,residential,Local,46.69238048381061
104192763,104821882,0,Josephine Street,tertiary,Tertiary,23.453194832885185
104192763,104192770,0,Barry Street,tertiary,Tertiary,98.04852682679231
104192763,105246154,0,Josephine Street,tertiary,Tertiary,95.6489524267222
104821882,104192763,0,Josephine Street,tertiary,Tertiary,23.453194832885185
104821882,12113194551,0,Josephine Street,tertiary,Tertiary,192.70023301311932
104821882,104821877,0,South 27th Street,tertiary,Tertiary,46.99589349603592
104192770,104656392,0,Barry Street,tertiary,Tertiary,61.92907627308837
104192770,104192763,0,Barry Street,tertiary,Tertiary,98.0485268267923
104192770,104383857,0,McCord Street,residential,Local,203.9789930854455
